ppt1,time1,gene1,ppt2,time2,gene2
B1,12.7,XAF1,B1,12.7,SMG6
B1,12.7,ZNF157,B1,12.7,CMTM7
B1,12.7,ZNF468,B1,12.7,RPTOR
L1,1,GPC3,L1,1,GSE1
L1,1,GSE1,L1,1,MDC1
L1,1,MDC1,L1,1,ROBO2
L1,1,MDC1,L1,1,MDC1
L1,1,MDC1,L1,1,X
L1,1,ROBO2,L1,1,MDC1
L1,1,SH3KBP1,L1,1,SH3KBP1
L1,1,X,L1,1,X
L1,1,X,L1,1,ZC3H15
L1,1,X,L1,1,X
L1,1,ZC3H15,L1,1,GPC3
L1,1.3,AKAP13,L1,1.3,MDC1
L1,1.3,ANKRD13C,L1,1.3,NADKD1
L1,1.3,BACH2,L1,1.3,SLC44A1
L1,1.3,BACH2,L1,1.3,X
L1,1.3,BACH2,L1,1.3,MDC1
L1,1.3,BACH2,L1,1.3,BACH2
L1,1.3,BACH2,L1,1.3,MKL2
L1,1.3,BACH2,L1,1.3,BACH2
L1,1.3,BACH2,L1,1.3,G3BP1
L1,1.3,BTRC,L1,1.3,MDC1
L1,1.3,CEP152,L1,1.3,MTMR3
L1,1.3,DHX29,L1,1.3,IFT140
L1,1.3,G3BP1,L1,1.3,DHX29
L1,1.3,IFT140,L1,1.3,BACH2
L1,1.3,IKZF3,L1,1.3,MDC1
L1,1.3,IL2RB,L1,1.3,ST8SIA4
L1,1.3,LOC440354,L1,1.3,IKZF3
L1,1.3,LRP6,L1,1.3,USP15
L1,1.3,MDC1,L1,1.3,IL2RB
L1,1.3,MDC1,L1,1.3,OXCT1
L1,1.3,MDC1,L1,1.3,AKAP13
L1,1.3,MDC1,L1,1.3,BACH2
L1,1.3,MKL2,L1,1.3,ANKRD13C
L1,1.3,MTMR3,L1,1.3,X
L1,1.3,NADKD1,L1,1.3,X
L1,1.3,OXCT1,L1,1.3,LRP6
L1,1.3,RNF217,L1,1.3,BACH2
L1,1.3,RNF217,L1,1.3,VPS41
L1,1.3,SLC44A1,L1,1.3,RNF217
L1,1.3,ST8SIA4,L1,1.3,CEP152
L1,1.3,USP15,L1,1.3,BTRC
L1,1.3,VPS41,L1,1.3,BACH2
L1,1.3,X,L1,1.3,RNF217
L1,1.3,X,L1,1.3,X
L1,1.3,X,L1,1.3,X
L1,1.3,X,L1,1.3,BACH2
L1,1.3,X,L1,1.3,LOC440354
